Term,Dominant_Subject
deviation,physics
device,chemistry
dextrorotatory,chemistry
diagonal,mathematics
diagram,physics
dialkylcadmium,chemistry
diamagnetic,chemistry
diameter,physics
diaminetetraaquacobalt,chemistry
diamminetetraaquacobalt,chemistry
diamond,chemistry
diaquodioxalatoferrate,chemistry
diastereomers,chemistry
diatomic,physics
diazonium,chemistry
dibal,chemistry
dibenzyl,chemistry
dibromobenzene,chemistry
dibromopropane,chemistry
dicarbonyl,chemistry
dice,mathematics
dichromate,chemistry
dictionary,chemistry
die,mathematics
dielectric,physics
diethyl,chemistry
diethylamine,chemistry
difference,physics
different,chemistry
differentiable,mathematics
diffraction,chemistry
diffusion,chemistry
digit,mathematics
dihydronaphthalene,chemistry
diisobutylaluminium,chemistry
diketone,chemistry
dilute,chemistry
dilution,chemistry
dimension,physics
dimensionless,physics
dimeric,chemistry
dimerisation,chemistry
dimerization,chemistry
dimethylaniline,chemistry
dimethylbutane,chemistry
dimethyldichlorosilane,chemistry
dimethylethan,chemistry
dimethyltetrahydrofuran,chemistry
diol,chemistry
dioxide,chemistry
diphenyl,chemistry
diphenylamine,chemistry
diphenylpropene,chemistry
dipole,physics
direction,physics
directrix,mathematics
disaccharide,chemistry
disappearance,chemistry
disc,physics
discharge,physics
discontinuity,mathematics
dish,chemistry
disintegration,physics
disk,physics
dislocation,chemistry
dispersion,chemistry
displacement,physics
display,physics
disproportionaltos1,physics
disproportionation,chemistry
dissipation,physics
dissociation,chemistry
dissolution,chemistry
dissolve,chemistry
dist,mathematics
distance,physics
distribution,physics
disulphide,chemistry
divergent,chemistry
divide,mathematics
division,physics
dna,chemistry
domain,mathematics
donation,chemistry
donor,chemistry
dot,mathematics
downwards,physics
drag,physics
draw,mathematics
drawback,physics
drawing,mathematics
drawn,mathematics
driven,chemistry
driver,physics
drop,physics
dropper,physics
drug,chemistry
dry,chemistry
dsp,chemistry
due,physics
duma,chemistry
duration,physics
dust,chemistry
dy1,mathematics
dy2,mathematics
dy3,mathematics
dye,chemistry
e2x,mathematics
earth,physics
ease,chemistry
ebullioscopic,chemistry
eccentricity,mathematics
edge,physics
edta,chemistry
effect,physics
effervescence,chemistry
efficiency,chemistry
efg,mathematics
ejection,physics
elasticity,physics
electric,physics
electrochemistry,chemistry
electrode,chemistry
electrolysis,chemistry
electrolyte,chemistry
electron,chemistry
electrophile,chemistry
electrophilic,chemistry
element,mathematics
elevation,chemistry
elevator,physics
eleven,mathematics
elimination,chemistry
